|	no. of generations	|	minimum fitness 	|	50th percentile fitness	|	maximum fitness 	|
-----------------------------------------------------------------------------------------------------------------------
|		1125		|	4.63E-06		|	5.19E-06		|	1.02E-05		|
|		1130		|	4.39E-06		|	5.47E-06		|	1.02E-05		|
|		1135		|	1.48E-06		|	5.38E-06		|	1.02E-05		|
|		1140		|	1.41E-06		|	9.26E-06		|	1.02E-05		|
|		1145		|	1.37E-06		|	4.85E-06		|	1.02E-05		|
|		1150		|	1.53E-06		|	6.36E-06		|	1.02E-05		|
|		1155		|	1.59E-06		|	5.15E-06		|	1.02E-05		|
|		1160		|	1.55E-06		|	4.99E-06		|	1.02E-05		|
|		1165		|	1.47E-06		|	4.69E-06		|	1.02E-05		|
|		1170		|	1.38E-06		|	6.59E-06		|	1.02E-05		|
|		1175		|	1.44E-06		|	4.72E-06		|	1.02E-05		|
|		1180		|	1.36E-06		|	4.73E-06		|	1.02E-05		|
|		1185		|	4.46E-06		|	5.11E-06		|	1.02E-05		|
|		1190		|	1.32E-06		|	3.95E-06		|	1.02E-05		|
|		1195		|	1.51E-06		|	6.20E-06		|	1.02E-05		|
|		1200		|	2.23E-06		|	5.12E-06		|	1.02E-05		|
|		1205		|	1.45E-06		|	5.28E-06		|	1.02E-05		|
|		1210		|	3.84E-06		|	5.88E-06		|	1.02E-05		|
|		1215		|	4.40E-06		|	5.62E-06		|	1.02E-05		|
|		1220		|	1.41E-06		|	4.55E-06		|	1.02E-05		|
|		1225		|	1.37E-06		|	5.06E-06		|	1.02E-05		|
|		1230		|	3.33E-06		|	4.64E-06		|	1.02E-05		|
|		1235		|	1.43E-06		|	4.87E-06		|	1.02E-05		|
|		1240		|	1.35E-06		|	6.49E-06		|	1.02E-05		|
|		1245		|	1.35E-06		|	5.35E-06		|	1.02E-05		|
|		1250		|	1.45E-06		|	7.07E-06		|	1.02E-05		|
|		1255		|	1.40E-06		|	8.54E-06		|	1.02E-05		|
|		1260		|	3.49E-06		|	5.07E-06		|	1.02E-05		|
|		1265		|	1.51E-06		|	5.25E-06		|	1.02E-05		|
|		1270		|	1.37E-06		|	5.04E-06		|	1.02E-05		|
|		1275		|	1.43E-06		|	4.96E-06		|	1.02E-05		|
|		1280		|	4.16E-06		|	5.39E-06		|	1.02E-05		|
|		1285		|	1.39E-06		|	5.47E-06		|	1.02E-05		|
|		1290		|	1.44E-06		|	6.92E-06		|	1.02E-05		|
|		1295		|	1.50E-06		|	4.84E-06		|	1.02E-05		|
|		1300		|	1.36E-06		|	5.71E-06		|	1.02E-05		|
|		1305		|	1.44E-06		|	4.78E-06		|	1.02E-05		|
|		1310		|	1.72E-06		|	7.29E-06		|	1.02E-05		|
|		1315		|	1.56E-06		|	5.00E-06		|	1.02E-05		|
|		1320		|	3.73E-06		|	8.03E-06		|	1.02E-05		|
|		1325		|	1.36E-06		|	8.56E-06		|	1.02E-05		|
|		1330		|	1.52E-06		|	7.33E-06		|	1.02E-05		|
|		1335		|	1.38E-06		|	5.77E-06		|	1.02E-05		|
|		1340		|	1.40E-06		|	5.71E-06		|	1.02E-05		|
|		1345		|	1.37E-06		|	4.84E-06		|	1.02E-05		|
|		1350		|	3.69E-06		|	5.01E-06		|	1.02E-05		|
|		1355		|	3.03E-06		|	5.45E-06		|	1.02E-05		|
|		1360		|	1.38E-06		|	5.78E-06		|	1.02E-05		|
|		1365		|	1.50E-06		|	6.99E-06		|	1.02E-05		|
|		1370		|	4.39E-06		|	4.86E-06		|	1.02E-05		|
|		1375		|	1.68E-06		|	5.36E-06		|	1.02E-05		|
|		1380		|	1.46E-06		|	4.69E-06		|	1.02E-05		|
|		1385		|	1.39E-06		|	7.27E-06		|	1.02E-05		|
|		1390		|	4.37E-06		|	5.74E-06		|	1.02E-05		|
|		1395		|	1.58E-06		|	4.99E-06		|	1.02E-05		|
|		1400		|	1.56E-06		|	4.98E-06		|	1.02E-05		|
|		1405		|	1.36E-06		|	6.90E-06		|	1.02E-05		|
|		1410		|	4.34E-06		|	5.22E-06		|	1.02E-05		|
|		1415		|	1.41E-06		|	4.60E-06		|	1.02E-05		|
|		1420		|	1.54E-06		|	7.50E-06		|	1.02E-05		|
|		1425		|	1.35E-06		|	4.74E-06		|	1.02E-05		|
|		1430		|	3.57E-06		|	5.00E-06		|	1.02E-05		|
|		1435		|	1.39E-06		|	5.26E-06		|	1.02E-05		|
|		1440		|	1.44E-06		|	3.17E-06		|	1.02E-05		|
|		1445		|	1.37E-06		|	6.81E-06		|	1.02E-05		|
|		1450		|	1.55E-06		|	4.86E-06		|	1.02E-05		|
|		1455		|	1.38E-06		|	4.99E-06		|	1.02E-05		|
|		1460		|	1.40E-06		|	4.67E-06		|	1.02E-05		|
|		1465		|	2.66E-06		|	6.23E-06		|	1.02E-05		|
|		1470		|	4.70E-06		|	7.46E-06		|	1.02E-05		|
|		1475		|	1.42E-06		|	7.26E-06		|	1.02E-05		|
|		5		|	4.64E-06		|	5.12E-06		|	9.36E-06		|
|		10		|	1.75E-06		|	7.11E-06		|	9.53E-06		|
|		15		|	4.87E-06		|	6.50E-06		|	9.61E-06		|
|		20		|	2.68E-07		|	4.90E-06		|	9.64E-06		|
|		25		|	1.39E-06		|	5.18E-06		|	9.64E-06		|
|		30		|	1.37E-06		|	5.26E-06		|	9.68E-06		|
|		35		|	1.97E-06		|	5.33E-06		|	9.92E-06		|
|		40		|	3.52E-06		|	9.50E-06		|	9.92E-06		|
|		45		|	1.40E-06		|	4.89E-06		|	9.92E-06		|
|		50		|	3.22E-06		|	6.79E-06		|	9.92E-06		|
|		55		|	1.35E-06		|	5.15E-06		|	9.92E-06		|
|		60		|	1.36E-06		|	4.61E-06		|	1.01E-05		|
|		65		|	1.48E-06		|	4.62E-06		|	1.01E-05		|
|		70		|	1.71E-06		|	4.82E-06		|	1.01E-05		|
|		75		|	1.38E-06		|	4.64E-06		|	1.01E-05		|
|		80		|	1.38E-06		|	5.13E-06		|	1.01E-05		|
|		85		|	1.56E-06		|	4.74E-06		|	1.01E-05		|
|		90		|	4.43E-06		|	5.13E-06		|	1.01E-05		|
|		95		|	1.41E-06		|	5.39E-06		|	1.01E-05		|
|		100		|	1.42E-06		|	5.66E-06		|	1.01E-05		|
|		105		|	1.39E-06		|	6.50E-06		|	1.01E-05		|
|		110		|	2.61E-06		|	8.64E-06		|	1.01E-05		|
|		115		|	4.61E-06		|	5.13E-06		|	1.02E-05		|
|		120		|	1.36E-06		|	5.26E-06		|	1.02E-05		|
|		125		|	1.45E-06		|	8.85E-06		|	1.02E-05		|
|		130		|	1.35E-06		|	4.45E-06		|	1.02E-05		|
|		135		|	1.62E-06		|	4.94E-06		|	1.02E-05		|
|		140		|	1.51E-06		|	6.04E-06		|	1.02E-05		|
|		145		|	1.55E-06		|	5.00E-06		|	1.02E-05		|
|		150		|	1.58E-06		|	5.23E-06		|	1.02E-05		|
|		155		|	1.34E-06		|	2.96E-06		|	1.02E-05		|
|		160		|	1.47E-06		|	5.17E-06		|	1.02E-05		|
|		165		|	1.43E-06		|	4.95E-06		|	1.02E-05		|
|		170		|	4.75E-06		|	9.51E-06		|	1.02E-05		|
|		175		|	1.39E-06		|	4.94E-06		|	1.02E-05		|
|		180		|	1.85E-06		|	4.94E-06		|	1.02E-05		|
|		185		|	1.36E-06		|	5.18E-06		|	1.02E-05		|
|		190		|	1.55E-06		|	4.58E-06		|	1.02E-05		|
|		195		|	3.87E-06		|	5.64E-06		|	1.02E-05		|
|		200		|	1.35E-06		|	5.17E-06		|	1.02E-05		|
|		205		|	1.37E-06		|	7.17E-06		|	1.02E-05		|
|		210		|	1.52E-06		|	5.07E-06		|	1.02E-05		|
|		215		|	1.65E-06		|	4.62E-06		|	1.02E-05		|
|		220		|	1.44E-06		|	5.20E-06		|	1.02E-05		|
|		225		|	1.36E-06		|	2.38E-06		|	1.02E-05		|
|		230		|	1.64E-06		|	5.08E-06		|	1.02E-05		|
|		235		|	1.95E-06		|	5.27E-06		|	1.02E-05		|
|		240		|	1.69E-06		|	4.80E-06		|	1.02E-05		|
|		245		|	1.34E-06		|	5.00E-06		|	1.02E-05		|
|		250		|	1.44E-06		|	2.96E-06		|	1.02E-05		|
|		255		|	3.66E-06		|	5.47E-06		|	1.02E-05		|
|		260		|	1.79E-06		|	9.57E-06		|	1.02E-05		|
|		265		|	1.41E-06		|	4.69E-06		|	1.02E-05		|
|		270		|	1.35E-06		|	3.83E-06		|	1.02E-05		|
|		275		|	1.44E-06		|	7.23E-06		|	1.02E-05		|
|		280		|	3.40E-06		|	5.09E-06		|	1.02E-05		|
|		285		|	1.73E-06		|	9.41E-06		|	1.02E-05		|
|		290		|	1.91E-06		|	8.90E-06		|	1.02E-05		|
|		295		|	4.43E-06		|	8.95E-06		|	1.02E-05		|
|		300		|	4.55E-06		|	7.19E-06		|	1.02E-05		|
|		305		|	1.48E-06		|	6.13E-06		|	1.02E-05		|
|		310		|	1.51E-06		|	5.82E-06		|	1.02E-05		|
|		315		|	4.67E-06		|	5.65E-06		|	1.02E-05		|
|		320		|	1.43E-06		|	5.05E-06		|	1.02E-05		|
|		325		|	1.41E-06		|	5.68E-06		|	1.02E-05		|
|		330		|	1.95E-06		|	5.20E-06		|	1.02E-05		|
|		335		|	2.03E-06		|	6.43E-06		|	1.02E-05		|
|		340		|	1.41E-06		|	4.97E-06		|	1.02E-05		|
|		345		|	3.61E-06		|	4.96E-06		|	1.02E-05		|
|		350		|	1.49E-06		|	5.22E-06		|	1.02E-05		|
|		355		|	1.42E-06		|	5.12E-06		|	1.02E-05		|
|		360		|	2.85E-06		|	4.93E-06		|	1.02E-05		|
|		365		|	1.60E-06		|	4.61E-06		|	1.02E-05		|
|		370		|	1.34E-06		|	5.85E-06		|	1.02E-05		|
|		375		|	1.37E-06		|	5.00E-06		|	1.02E-05		|
|		380		|	1.38E-06		|	4.70E-06		|	1.02E-05		|
|		385		|	1.71E-06		|	5.02E-06		|	1.02E-05		|
|		390		|	1.11E-06		|	6.73E-06		|	1.02E-05		|
|		395		|	4.55E-06		|	5.25E-06		|	1.02E-05		|
|		400		|	1.36E-06		|	5.06E-06		|	1.02E-05		|
|		405		|	1.52E-06		|	4.73E-06		|	1.02E-05		|
|		410		|	4.17E-06		|	5.07E-06		|	1.02E-05		|
|		415		|	1.56E-06		|	4.97E-06		|	1.02E-05		|
|		420		|	4.66E-06		|	9.57E-06		|	1.02E-05		|
|		425		|	1.39E-06		|	5.24E-06		|	1.02E-05		|
|		430		|	4.50E-06		|	8.38E-06		|	1.02E-05		|
|		435		|	1.34E-06		|	5.58E-06		|	1.02E-05		|
|		440		|	1.35E-06		|	7.13E-06		|	1.02E-05		|
|		445		|	4.80E-06		|	5.68E-06		|	1.02E-05		|
|		450		|	1.43E-06		|	4.83E-06		|	1.02E-05		|
|		455		|	1.46E-06		|	4.92E-06		|	1.02E-05		|
|		460		|	4.40E-06		|	5.19E-06		|	1.02E-05		|
|		465		|	1.42E-06		|	5.05E-06		|	1.02E-05		|
|		470		|	1.36E-06		|	5.43E-06		|	1.02E-05		|
|		475		|	1.38E-06		|	4.13E-06		|	1.02E-05		|
|		480		|	1.58E-06		|	6.40E-06		|	1.02E-05		|
|		485		|	1.36E-06		|	7.38E-06		|	1.02E-05		|
|		490		|	1.42E-06		|	5.22E-06		|	1.02E-05		|
|		495		|	1.60E-06		|	4.76E-06		|	1.02E-05		|
|		500		|	3.67E-06		|	7.73E-06		|	1.02E-05		|
|		505		|	1.37E-06		|	4.68E-06		|	1.02E-05		|
|		510		|	1.40E-06		|	5.80E-06		|	1.02E-05		|
|		515		|	4.35E-06		|	5.61E-06		|	1.02E-05		|
|		520		|	2.00E-06		|	5.90E-06		|	1.02E-05		|
|		525		|	1.39E-06		|	7.39E-06		|	1.02E-05		|
|		530		|	1.05E-06		|	4.93E-06		|	1.02E-05		|
|		535		|	4.42E-06		|	5.26E-06		|	1.02E-05		|
|		540		|	2.96E-06		|	5.38E-06		|	1.02E-05		|
|		545		|	1.37E-06		|	5.06E-06		|	1.02E-05		|
|		550		|	1.38E-06		|	4.90E-06		|	1.02E-05		|
|		555		|	1.43E-06		|	4.16E-06		|	1.02E-05		|
|		560		|	4.39E-06		|	4.71E-06		|	1.02E-05		|
|		565		|	1.34E-06		|	6.37E-06		|	1.02E-05		|
|		570		|	1.38E-06		|	4.85E-06		|	1.02E-05		|
